Hospitalizations - Total,Cases - Total,Deaths - Total,Date
47.0,743.0,2.0,08/16/2022
37.0,962.0,1.0,08/02/2022
15.0,97.0,4.0,07/12/2020
24.0,233.0,4.0,08/29/2020
13.0,771.0,1.0,04/18/2022
14.0,90.0,0.0,04/02/2023
25.0,232.0,0.0,10/22/2022
44.0,819.0,3.0,12/19/2022
23.0,337.0,5.0,10/21/2021
25.0,353.0,1.0,10/18/2021
40.0,851.0,3.0,06/20/2022
24.0,336.0,5.0,03/03/2021
69.0,1083.0,19.0,01/19/2021
33.0,488.0,0.0,11/22/2022
31.0,374.0,5.0,10/06/2021
25.0,411.0,1.0,08/18/2020
27.0,505.0,3.0,09/14/2022
18.0,215.0,3.0,08/01/2021
5.0,54.0,1.0,07/03/2023
60.0,1444.0,24.0,12/30/2020
28.0,92.0,12.0,06/14/2020
20.0,349.0,4.0,08/06/2020
91.0,328.0,30.0,05/23/2020
3.0,53.0,0.0,06/29/2023
68.0,581.0,30.0,12/20/2020
4.0,27.0,0.0,07/04/2023
19.0,96.0,0.0,04/15/2023
104.0,2323.0,15.0,11/02/2020
17.0,39.0,2.0,06/10/2021
65.0,614.0,26.0,05/27/2020
47.0,389.0,2.0,01/02/2023
17.0,323.0,1.0,07/29/2021
19.0,1088.0,0.0,05/05/2022
19.0,1294.0,1.0,05/03/2022
21.0,247.0,0.0,09/17/2022
2.0,0.0,0.0,03/01/2020
10.0,170.0,3.0,03/09/2022
25.0,339.0,0.0,09/23/2022
51.0,620.0,3.0,12/02/2022
15.0,197.0,0.0,07/24/2021
79.0,853.0,24.0,12/19/2020
22.0,387.0,0.0,03/07/2023
44.0,852.0,3.0,07/15/2022
112.0,943.0,33.0,05/18/2020
28.0,417.0,5.0,01/12/2023
45.0,943.0,18.0,01/31/2022
8.0,122.0,0.0,05/16/2023
29.0,229.0,0.0,03/31/2023
32.0,622.0,5.0,07/23/2022
29.0,413.0,2.0,08/31/2020
25.0,311.0,0.0,03/09/2023
16.0,121.0,1.0,02/11/2024
63.0,666.0,27.0,01/23/2022
52.0,155.0,0.0,03/20/2020
77.0,749.0,23.0,05/26/2020
16.0,176.0,0.0,10/16/2022
29.0,354.0,1.0,03/11/2021
4.0,52.0,3.0,06/15/2021
7.0,3.0,0.0,03/08/2020
30.0,547.0,2.0,06/18/2022
9.0,240.0,1.0,03/25/2022
24.0,209.0,1.0,09/14/2023
199.0,4455.0,11.0,12/26/2021
25.0,184.0,1.0,02/07/2024
98.0,780.0,15.0,11/22/2020
82.0,1871.0,4.0,10/30/2020
34.0,464.0,1.0,01/18/2023
5.0,48.0,0.0,06/19/2023
36.0,254.0,23.0,06/09/2020
87.0,1887.0,4.0,10/29/2020
35.0,386.0,0.0,08/27/2022
82.0,1066.0,10.0,10/31/2020
30.0,329.0,7.0,03/02/2021
43.0,506.0,1.0,11/21/2022
13.0,96.0,0.0,03/05/2024
167.0,1466.0,36.0,04/23/2020
22.0,474.0,3.0,08/02/2021
3.0,27.0,0.0,06/18/2023
19.0,173.0,0.0,09/27/2023
7.0,58.0,2.0,07/05/2021
