Household/family type,SERIALNO,INTP_adj
Other,13725,0.0
1,13726,Other
1,13726,0.0
1,13727,Other
1,13727,0.0
6,13747,0.0
1,13751,0.0
1,13751,0.0
1,13751,0.0
6,13761,0.0
Other,13785,0.0
2,13811,Other
2,13811,0.0
2,13811,0.0
2,13811,0.0
2,13811,0.0
2,13811,0.0
2,13811,Other
1,13853,0.0
1,13853,0.0
1,13890,0.0
1,13890,0.0
1,13890,0.0
1,13890,0.0
1,13890,0.0
3,13962,0.0
3,13962,0.0
3,13962,0.0
6,14001,0.0
Other,14064,0.0
Other,14064,0.0
3,14075,0.0
3,14075,0.0
1,14118,0.0
1,14118,0.0
Other,14139,0.0
1,14144,0.0
1,14144,0.0
1,14144,0.0
6,14170,Other
1,18277,0.0
1,14225,0.0
1,14225,Other
3,14234,0.0
3,14234,0.0
1,14401,0.0
1,14401,0.0
1,14401,0.0
1,14401,0.0
1,14401,0.0
1,14401,0.0
1,14534,0.0
1,14534,0.0
1,14534,0.0
6,14549,0.0
3,14585,0.0
3,14585,0.0
3,14585,0.0
3,14585,0.0
3,14585,0.0
3,14630,0.0
3,14630,0.0
3,14854,0.0
3,14854,0.0
3,14854,0.0
3,14854,0.0
3,14854,0.0
3,14854,0.0
3,14854,0.0
3,14854,0.0
Other,14932,0.0
1,15061,0.0
1,15061,0.0
3,15097,0.0
3,15097,0.0
3,15097,0.0
1,15101,0.0
1,15101,0.0
Other,15260,0.0
1,15283,0.0
1,15283,0.0
1,15283,0.0
Other,15305,0.0
1,15342,0.0
1,15342,0.0
1,15342,0.0
1,15342,0.0
6,15381,0.0
1,15425,Other
1,15425,0.0
1,15425,0.0
1,15431,0.0
1,15431,0.0
1,15512,0.0
1,15512,0.0
6,15595,Other
1,15630,0.0
1,15630,0.0
1,15630,0.0
1,15630,0.0
1,15630,0.0
1,15644,0.0
1,15644,0.0
1,15644,0.0
1,15644,0.0
Other,15666,0.0
Other,15666,0.0
Other,15800,0.0
Other,15800,0.0
1,15890,0.0
1,15890,0.0
1,15890,0.0
1,15890,0.0
1,15890,0.0
3,16022,0.0
3,16022,0.0
Other,16037,Other
Other,16037,0.0
Other,16037,0.0
3,16055,0.0
3,16055,0.0
1,16060,0.0
1,16060,0.0
Other,16087,0.0
1,16139,0.0
1,16139,0.0
1,16139,0.0
1,16139,0.0
1,16139,0.0
Other,16181,0.0
Other,16181,0.0
Other,16183,0.0
Other,16183,0.0
Other,16183,0.0
6,16245,0.0
3,16280,0.0
3,16280,0.0
3,16280,0.0
3,16280,0.0
Other,16281,0.0
Other,16281,0.0
Other,16281,0.0
1,16306,0.0
1,16306,0.0
1,16306,0.0
1,16306,0.0
1,16405,Other
1,16405,Other
6,16521,0.0
3,16534,0.0
3,16534,0.0
1,16623,0.0
1,16623,0.0
1,16623,0.0
1,16640,Other
1,16640,0.0
1,16640,0.0
1,16640,0.0
1,16640,0.0
1,16640,0.0
1,16640,0.0
1,16640,0.0
1,16640,0.0
3,16686,0.0
3,16686,0.0
3,16686,0.0
3,16686,0.0
3,16686,0.0
Other,16690,0.0
3,16760,0.0
3,16760,0.0
3,16760,0.0
3,16760,0.0
3,16760,0.0
3,16760,0.0
3,16792,0.0
3,16792,0.0
3,16831,0.0
3,16831,0.0
3,16831,0.0
1,16837,0.0
1,16837,0.0
1,16837,0.0
3,16893,0.0
3,16893,0.0
1,16947,0.0
1,16947,0.0
1,16947,0.0
1,16947,0.0
1,16987,0.0
1,16987,0.0
3,17121,0.0
3,17121,0.0
3,17123,0.0
3,17123,0.0
3,17123,0.0
Other,17343,0.0
Other,17343,0.0
1,17479,0.0
1,17479,0.0
1,17479,0.0
1,17479,0.0
2,17483,0.0
2,17483,0.0
6,17500,0.0
1,17537,0.0
1,17537,0.0
1,17537,0.0
1,17537,0.0
1,17537,0.0
1,17537,0.0
1,17537,0.0
1,17537,0.0
1,17537,0.0
1,17537,0.0
3,17588,0.0
3,17588,0.0
6,17610,Other
3,17638,0.0
3,17638,0.0
1,17656,0.0
1,17656,0.0
1,17656,0.0
1,17656,0.0
Other,17736,0.0
3,17780,0.0
3,17780,0.0
1,17793,0.0
1,17793,0.0
Other,17822,Other
Other,17833,0.0
1,17901,0.0
1,17901,0.0
1,17901,0.0
1,17901,0.0
Other,17934,0.0
Other,18002,Other
