School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1
SALVATION ARMY SUTTER DAY CARE,K,23,ACS EARLY LEARN LEASE IMPROVEMENT,677000.0,CIP,KBDD,20 SUTTER AVENUE,Brooklyn,11224,BROOKLYN,40.573588,-73.992855,313,47,3339183.0,3070520034.0,342,BK1302,"(40.573588, -73.992855)"
P.S. 195/196 - BRONX,X,12,Demo,2382877.88,CAP,X077,1260 WARD AVENUE,Bronx,10457,BRONX,40.852167,-73.899074,205,15,,,379,BX0502,"(40.852167, -73.899074)"
FIORELLO LAGUARDIA HS - MANHATTAN,M,3,RPZ BACKFLOW PREVENTION DEVICES / FIRE SPRINKLER SYSTEM,1997798.0,CIP,M485,100 AMSTERDAM AVENUE,Manhattan,10023,MANHATTAN,40.774351,-73.984753,107,6,1030343.0,1011570025.0,15101,MN0701,"(40.774351, -73.984753)"
CITY-AS-SCHOOL - MANHATTAN,M,2,IPDVS INSTALLATIONS,210000.0,CIP,M641,16 CLARKSON STREET,Manhattan,10128,MANHATTAN,40.783638,-73.945626,111,8,1083927.0,1016680001.0,15602,MN1101,"(40.783638, -73.945626)"
P.S. 115 - BROOKLYN,K,18,FY23 RESO A LIBRARY UPGRADE,280000.0,CIP,K115,1500 EAST 92 STREET,Brooklyn,11206,BROOKLYN,40.700609,-73.93834,304,34,3071806.0,3031370026.0,389,BK0401,"(40.700609, -73.93834)"
P.S. 197 - MANHATTAN,M,5,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,644500.0,CIP,M197,2230 5TH AVENUE,Manhattan,10040,MANHATTAN,40.860806,-73.930661,112,10,1076756.0,1021720016.0,285,MN1202,"(40.860806, -73.930661)"
BAYSIDE HIGH SCHOOL - QUEENS,Q,26,FY25 RESO A IPDVS CAMERA INSTALLATION / FY25 RESO A IPDVS CAMERA INSTALLATION,451000.0,CIP,Q405,32-24 CORPORAL KENNEDY STREET,Queens,11364,QUEENS,40.752333,-73.75599,411,23,4161735.0,4075290001.0,138501,QN1102,"(40.752333, -73.75599)"
P.S. 161 - QUEENS,Q,28,FY23 RESO A IPDVS CAMERA INSTALLATION,218010.97,CIP,Q161,101-33 124TH STREET,Queens,11106,QUEENS,40.757309,-73.926733,401,26,4008220.0,4006100001.0,57,QN0103,"(40.757309, -73.926733)"
P.S. 152 - MANHATTAN,M,6,WALK-IN REFRIGERATORS AND FREEZERS,531684.0,CIP,M152,93 NAGLE AVENUE,Manhattan,10035,MANHATTAN,40.797302,-73.936365,111,8,1052986.0,1016890005.0,188,MN1102,"(40.797302, -73.936365)"
LONG ISLAND CITY H.S.,Q,30,FY24 RESO A ELECTRICAL UPGRADE,373000.0,CIP,Q452,14-30 BROADWAY,Queens,11373,QUEENS,40.741122,-73.874721,404,25,4045629.0,4018490001.0,461,QN0401,"(40.741122, -73.874721)"
P.S. 146 - QUEENS,Q,27,FY24 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,546000.0,CIP,Q146,98-01 159 AVENUE,Queens,11104,QUEENS,40.745537,-73.923776,402,26,4002387.0,4001850001.0,18101,QN0202,"(40.745537, -73.923776)"
I.S. 202 - QUEENS,Q,27,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,8212500.0,CIP,Q202,138-30 LAFAYETTE STREET,Queens,11364,QUEENS,40.754201,-73.760636,411,23,4161005.0,4074820317.0,138501,QN1102,"(40.754201, -73.760636)"
NEW DORP HS - STATEN ISLAND,R,31,PARAPETS / EXTERIOR MASONRY / ROOFS,29474103.0,CIP,R435,465 NEW DORP LANE,Staten Island,10306,STATEN IS,40.567873,-74.115373,502,50,5107621.0,5042440001.0,134,SI0202,"(40.567873, -74.115373)"
X168 SPED - BRONX,X,10,FY20 RESO A IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION / FY24 RESO A IPDVS CAMERA INSTALLATION,634712.48,CIP,X020,3050 WEBSTER AVENUE,Bronx,10455,BRONX,40.812619,-73.906063,201,8,2004772.0,2026640001.0,79,BX0102,"(40.812619, -73.906063)"
THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,X,7,WALK-IN REFRIGERATORS AND FREEZERS,595000.0,CIP,X183,339 MORRIS AVENUE,Bronx,10453,BRONX,40.851815,-73.91118,205,14,2098721.0,2028620014.0,217,BX0501,"(40.851815, -73.91118)"
BROOKLYN TECH HS - K,K,13,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,24193000.0,CIP,K430,29 FT GREENE PLACE,Brooklyn,11211,BROOKLYN,40.712184,-73.939722,301,34,3325733.0,3030160001.0,485,BK0104,"(40.712184, -73.939722)"
HS FOR ARTS & TECHNOLOGY - M,M,3,CAFETERIA UPGRADE / AHU REPLACEMENT,8995000.0,CIP,M490,122 AMSTERDAM AVENUE,Manhattan,10035,MANHATTAN,40.807383,-73.939433,111,9,1054156.0,1017520022.0,206,MN1102,"(40.807383, -73.939433)"
P.S. 137 - BROOKLYN,K,23,FULL PROGRAM ACCESSIBILITY / FIRE ALARM REPLACEMENT,19137000.0,CIP,K137,121 SARATOGA AVENUE,Brooklyn,11216,BROOKLYN,40.67438,-73.951443,308,36,3330794.0,3012330026.0,31701,BK0802,"(40.67438, -73.951443)"
P.S. 80 - STATEN ISLAND,R,31,REINFORCING SUPPORT ELEMENTS,2245000.0,CIP,R880,715 OCEAN TERRACE,Staten Island,10460,BRONX,40.840755,-73.881707,206,15,2010892.0,2030050010.0,359,BX0601,"(40.840755, -73.881707)"
P.S. 123 - QUEENS,Q,27,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,1082000.0,CIP,Q123,145-01 119 AVENUE,Queens,11377,QUEENS,40.741131,-73.918945,402,26,4052874.0,4022840006.0,23502,QN0202,"(40.741131, -73.918945)"
M.S. 282 - QUEENS,Q,27,PAVED AREAS CONCRETE- SIDEWALKS & COURTYARD,2555000.0,CIP,Q465,8-21 BAY 25 STREET,Queens,11432,QUEENS,40.713218,-73.797237,408,24,4448806.0,4098580100.0,452,QN0805,"(40.713218, -73.797237)"
P.S. 158 - BROOKLYN,K,19,STRUCTURAL DEFECTS,497001.0,CIP,K158,400 ASHFORD STREET,Brooklyn,11237,BROOKLYN,40.707229,-73.919805,304,34,3073018.0,3032120001.0,445,BK0401,"(40.707229, -73.919805)"
"HERO HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPAT",X,7,STH SBHC,2918000.0,CIP,X655,455 SOUTHERN BOULEVARD,Bronx,10453,BRONX,40.856573,-73.916202,205,14,2118366.0,2032220100.0,249,BX0501,"(40.856573, -73.916202)"
