AREA,DISTRICT,SAFETY
area_4,Other,57.26
area_1,Other,54.09
area_1,Other,41.53
area_5,25.0,56.44
area_1,Other,47.26
area_2,Other,61.36
area_3,,58.97
area_5,25.0,54.83
area_4,Other,46.26
area_5,25.0,61.01
area_5,25.0,58.19
area_5,Other,65.89
area_3,Other,67.56
area_5,Other,61.21
area_2,Other,55.77
area_1,Other,55.39
area_5,Other,72.09
area_1,Other,54.75
area_3,Other,69.07
area_3,Other,59.74
area_5,Other,60.94
area_3,Other,55.93
area_1,,52.32
area_4,Other,42.98
area_1,Other,44.57
area_4,Other,41.41
area_2,Other,56.4
area_2,Other,61.55
area_5,Other,71.41
area_5,25.0,62.73
area_5,25.0,55.38
area_3,Other,60.99
area_4,Other,59.76
area_2,Other,50.35
area_4,Other,46.6
area_1,Other,58.7
,,58.66
,,58.66
area_2,Other,70.47
area_2,Other,49.95
,,60.27
,,60.27
area_3,Other,68.6
area_4,Other,45.99
area_1,Other,61.12
area_4,Other,59.52
area_3,Other,65.14
area_5,Other,62.82
area_1,Other,55.6
area_2,Other,45.04
area_1,Other,45.49
area_3,Other,69.46
area_4,Other,50.52
area_4,Other,44.09
area_1,Other,57.35
area_1,Other,57.14
area_1,Other,58.42
area_5,Other,65.41
area_1,Other,62.64
area_4,Other,64.94
area_2,Other,52.07
area_5,25.0,55.29
area_1,Other,44.92
area_5,Other,63.34
area_1,Other,59.63
area_3,,69.97
area_1,Other,47.31
area_3,Other,61.15
area_1,Other,48.3
area_5,Other,58.86
area_5,Other,64.54
,,57.89
,,57.89
area_2,Other,65.61
area_5,Other,64.26
area_2,Other,58.49
area_4,Other,53.42
area_3,Other,58.86
area_5,Other,60.28
area_5,25.0,54.18
area_3,Other,58.56
area_1,Other,59.01
area_2,Other,59.18
area_5,Other,52.77
area_5,,60.63
area_4,Other,51.59
area_3,Other,70.1
area_5,25.0,66.01
area_2,Other,48.62
area_2,Other,50.96
area_3,Other,59.13
area_4,Other,46.36
area_4,Other,50.11
area_5,Other,68.23
area_1,Other,54.75
area_3,Other,55.68
area_2,Other,50.81
area_3,Other,69.66
area_4,Other,40.1
area_5,Other,74.93
area_3,Other,60.24
area_4,Other,50.89
area_1,Other,48.61
,,62.18
area_2,Other,58.53
area_2,,56.74
area_3,Other,56.21
area_2,Other,61.27
area_3,Other,55.29
area_2,Other,53.09
area_3,Other,46.04
area_2,Other,48.1
area_5,Other,67.45
area_2,Other,47.06
area_4,Other,61.02
area_2,Other,54.83
area_5,Other,67.06
area_5,Other,65.78
area_1,,55.54
area_3,Other,57.3
area_4,Other,52.81
area_4,Other,59.21
area_2,Other,67.62
,,57.97
area_3,Other,68.15
area_2,Other,43.86
area_4,Other,53.56
area_3,Other,63.58
area_5,25.0,57.99
area_1,Other,63.77
area_2,Other,65.07
area_5,25.0,55.32
area_5,25.0,58.35
area_5,25.0,62.44
area_4,Other,48.02
area_3,Other,63.49
area_3,Other,65.08
area_3,Other,56.12
area_1,Other,61.9
Other,,63.3
area_3,Other,67.01
area_5,25.0,55.74
area_4,Other,47.03
area_2,Other,61.34
area_3,Other,54.65
area_4,Other,45.89
area_5,Other,61.84
area_2,Other,43.47
area_4,Other,47.43
area_2,Other,62.81
area_1,Other,48.27
area_5,25.0,52.98
area_1,Other,41.89
area_3,Other,61.43
area_1,Other,52.69
area_1,Other,66.44
area_3,Other,69.83
area_4,Other,57.34
area_3,Other,51.93
area_5,25.0,58.5
area_4,Other,41.87
area_2,Other,56.74
area_5,Other,72.8
area_3,Other,59.58
area_3,Other,68.31
area_5,Other,64.33
area_1,Other,51.79
area_1,Other,54.02
area_4,Other,49.24
area_3,Other,62.36
area_5,Other,68.41
area_2,Other,59.2
area_2,Other,57.02
area_1,Other,51.31
area_4,Other,51.62
area_5,25.0,58.85
area_2,Other,39.11
area_1,Other,46.15
area_3,Other,59.28
area_1,Other,59.4
area_5,Other,62.96
area_1,Other,61.81
area_2,Other,52.0
area_3,Other,69.49
area_4,Other,44.35
area_5,,64.19
area_1,Other,55.09
area_3,Other,58.53
area_4,Other,52.08
area_1,Other,59.64
Other,,64.31
area_3,Other,65.09
area_2,Other,60.09
area_1,Other,50.05
area_5,25.0,55.88
area_4,Other,42.96
area_3,Other,63.28
area_1,Other,40.78
,,63.67
,,63.67
area_5,25.0,57.99
area_3,Other,70.48
Other,,68.98
area_2,Other,57.45
Other,,64.62
area_1,Other,64.77
area_5,Other,62.5
area_4,,54.25
area_3,Other,68.05
area_3,Other,60.79
area_2,Other,65.26
area_2,Other,47.28
area_2,Other,45.77
area_4,Other,54.43
area_3,Other,53.16
area_3,Other,60.58
area_5,Other,64.15
area_3,Other,67.67
area_3,Other,61.6
area_3,Other,71.34
area_5,25.0,56.46
area_2,Other,53.58
area_4,Other,52.89
area_1,Other,51.3
area_1,Other,46.88
area_3,Other,56.97
area_1,Other,54.41
area_5,Other,61.28
area_3,Other,68.56
area_2,Other,49.23
area_4,Other,51.62
area_2,Other,65.24
area_3,Other,71.34
area_3,Other,70.56
area_4,Other,42.56
area_3,Other,58.69
area_1,Other,47.58
area_1,Other,50.37
area_4,Other,47.85
area_4,Other,62.44
area_3,Other,56.25
area_1,Other,59.36
area_5,Other,61.63
area_5,Other,71.58
area_1,Other,40.0
area_3,Other,65.36
Other,,61.27
